node,coord0,coord1,aggregate
456,0.394314,-0.0594411,171
457,0.432941,-0.178323,47
458,0.557941,-0.178323,63
459,0.476127,-0.118882,47
460,0.519314,-0.0594411,80
461,0.5625,0,80
462,0.644314,0.0594411,149
463,0.601127,0.118882,80
464,0.6875,0,109
465,0.769314,0.0594411,109
466,0.726127,0.118882,149
467,0.807941,0.178323,28
468,0.764755,0.237764,51
469,0.682941,0.178323,45
470,0.639755,0.237764,80
471,0.8125,0,72
472,0.894314,0.0594411,147
473,0.851127,0.118882,44
474,0.9375,0,197
475,0.976127,0.118882,98
476,1.01475,0.237764,98
477,0.932941,0.178323,49
478,0.889755,0.237764,44
479,0.971569,0.297206,49
480,0.928382,0.356647,44
481,0.846568,0.297206,28
482,1.05338,0.356647,98
483,1.09201,0.475529,121
484,1.0102,0.416088,49
485,0.96701,0.475529,61
486,0.885196,0.416088,28
487,0.721568,0.297206,45
488,0.678382,0.356647,32
489,0.803382,0.356647,51
490,0.842009,0.475529,51
491,0.760196,0.416088,45
492,0.717009,0.475529,32
493,0.798823,0.53497,155
494,0.755637,0.594411,32
495,0.673823,0.53497,42
496,0.923823,0.53497,28
497,0.880637,0.594411,183
498,0.962451,0.653852,132
499,0.919264,0.713293,183
500,0.837451,0.653852,155
501,0.794264,0.713293,175
502,0.71245,0.653852,119
503,1.04882,0.53497,49
504,1.00564,0.594411,61
505,1.13064,0.594411,121
506,1.16926,0.713293,121
507,1.08745,0.653852,134
508,1.04426,0.713293,61
509,1.12608,0.772734,134
510,1.08289,0.832175,192
511,1.00108,0.772734,132
512,1.20789,0.832175,192
513,1.16471,0.891616,134
514,1.03971,0.891616,132
515,0.876078,0.772734,155
516,0.832892,0.832175,175
517,0.751078,0.772734,119
518,0.957892,0.832175,183
519,0.914706,0.891616,175
520,0.789705,0.891616,119
521,0.298822,0.53497,57
522,0.255635,0.594411,135
523,0.173822,0.53497,169
524,0.423822,0.53497,127
525,0.380636,0.594411,40
526,0.46245,0.653852,127
527,0.419263,0.713293,126
528,0.337449,0.653852,57
529,0.294263,0.713293,135
530,0.212449,0.653852,50
531,0.548822,0.53497,56
532,0.505636,0.594411,41
533,0.630636,0.594411,43
534,0.669264,0.713293,128
535,0.58745,0.653852,128
536,0.544263,0.713293,41
537,0.626077,0.772734,128
538,0.582891,0.832175,184
539,0.501077,0.772734,185
540,0.707891,0.832175,128
541,0.664705,0.891616,184
542,0.539704,0.891616,185
543,0.376077,0.772734,57
544,0.33289,0.832175,141
545,0.251076,0.772734,50
546,0.45789,0.832175,126
547,0.414704,0.891616,141
548,0.289703,0.891616,50
549,0.142572,0.631148,10
550,0.0726946,0.608443,23
551,0.181199,0.75003,10
552,0.111322,0.727325,23
553,0.0800719,0.823503,130
554,0.0101948,0.800798,124
555,0.0414447,0.704621,130
556,-0.0284324,0.681916,124
557,0.219826,0.868912,10
558,0.149949,0.846207,23
559,0.188576,0.965089,186
560,0.0874492,1.03856,186
561,0.118699,0.942385,186
562,0.048822,0.91968,124
563,0.017572,1.01586,157
564,-0.0523051,0.993153,157
565,-0.0210552,0.896976,8
566,-0.013678,1.11204,157
567,-0.114805,1.18551,105
568,-0.0835551,1.08933,7
569,-0.153432,1.06663,105
570,-0.122182,0.970449,7
571,-0.0596823,0.778094,8
572,-0.129559,0.755389,0
573,-0.0909323,0.874271,0
574,-0.192059,0.947744,105
575,-0.160809,0.851567,7
576,-0.230686,0.828862,14
577,-0.261936,0.925039,15
578,-0.331813,0.902334,20
579,-0.300563,0.806157,15
580,-0.223309,1.04392,15
581,-0.293186,1.02122,20
582,-0.324436,1.11739,99
583,-0.394313,1.09469,11
584,-0.363063,0.998512,99
585,-0.43294,0.975807,11
586,-0.40169,0.879629,99
587,-0.184682,1.1628,173
588,-0.254559,1.1401,20
589,-0.215932,1.25898,173
590,-0.317059,1.33245,174
591,-0.285809,1.23628,174
592,-0.355686,1.21357,174
593,-0.386936,1.30975,129
594,-0.456813,1.28704,129
595,-0.425563,1.19087,29
596,-0.418186,1.40593,180
597,-0.488063,1.38322,180
598,-0.52669,1.26434,180
599,-0.46419,1.07198,29
600,-0.534067,1.04928,4
601,-0.502818,0.953102,29
602,-0.49544,1.16816,129
603,-0.565317,1.14546,95
604,-0.603944,1.02657,95
605,-0.416445,0.449511,46
606,-0.486322,0.426807,64
607,-0.455072,0.33063,46
608,-0.377818,0.568393,46
609,-0.447695,0.545689,64
610,-0.478945,0.641866,16
611,-0.548822,0.619161,36
612,-0.517572,0.522984,16
613,-0.587449,0.50028,36
614,-0.556199,0.404102,92
615,-0.339191,0.687275,15
616,-0.409068,0.664571,64
617,-0.370441,0.783452,20
618,-0.471568,0.856925,11
619,-0.440318,0.760748,16
620,-0.510195,0.738043,11
621,-0.541445,0.83422,29
622,-0.611322,0.811516,4
623,-0.580072,0.715339,17
624,-0.572695,0.930397,4
625,-0.642572,0.907693,95
626,-0.681199,0.788811,66
627,-0.618699,0.596457,17
628,-0.688576,0.573753,55
629,-0.657326,0.477575,17
630,-0.649949,0.692634,55
631,-0.719826,0.66993,66
632,-0.758453,0.551049,66
633,-0.556199,0.330629,172
634,-0.556198,0.257156,172
635,-0.657326,0.404102,36
636,-0.657325,0.330629,92
637,-0.758452,0.330629,2
638,-0.758452,0.257156,92
639,-0.657325,0.257156,172
640,-0.657325,0.183683,172
641,-0.758453,0.477575,55
642,-0.758452,0.404102,146
643,-0.859579,0.477575,88
644,-0.960705,0.404102,125
645,-0.859579,0.404102,55
646,-0.859579,0.330629,146
647,-0.960705,0.330629,88
648,-0.960705,0.257156,146
649,-0.859578,0.257156,2
650,-1.06183,0.330629,125
651,-1.16296,0.257156,125
652,-1.06183,0.257156,88
653,-1.06183,0.183683,79
654,-0.960705,0.183683,148
655,-0.758452,0.183683,33
656,-0.758452,0.11021,33
657,-0.859578,0.183683,2
658,-0.960705,0.11021,148
659,-0.859579,0.11021,34
660,-0.859579,0.0367366,33
661,-0.960705,0.0367367,34
662,-0.960705,-0.0367364,34
